text,label,adverse
Patient recently moved into an apartment but is experiencing issues with pests such as bed bugs and roaches,HOUSING,adverse
Evicted from previous residence inability pay rent on time currently staying at homeless shelter while searching new housing options,HOUSING,adverse
Inadequate transportation infrastructure limiting accessibility resources needed,HOUSING,adverse
Patient's current living situation involves overcrowding with multiple family members sharing one small space leading to increased stress levels,HOUSING,adverse
Currently residing in substandard rental property without proper heating/cooling systems causing health problems like asthma exacerbations or heat stroke episodes,HOUSING,adverse
Pt reports being unable afford utility bills resulting in disconnection electricity or gas service,HOUSING,adverse
Residing substandard rental property without proper heating/cooling systems causing health problems like asthma exacerbations heat stroke episodes,HOUSING,adverse
Pt expresses concern about eviction notice received from landlord.,HOUSING,adverse
Pt was evicted from previous residence due to inability to pay rent on time; currently staying at homeless shelter while searching for new housing options,HOUSING,adverse
Housing instability caused by lack of credit history preventing approval for lease agreements,HOUSING,adverse
Difficulty securing employment opportunities due to lack of permanent address or phone number for employers contact,HOUSING,adverse
Pt reports difficulty paying rent due to recent job loss.,HOUSING,adverse
Pt reports being unable to afford utility bills resulting in disconnection of electricity or gas service,HOUSING,adverse
"Pt lives in public housing that requires repairs, including plumbing issues and broken appliances, which have not been addressed by management despite repeated requests for maintenance services",HOUSING,adverse
Pt is staying with a friend and does not have a mailing address.,HOUSING,adverse
Pt describes being forced out of previous residence by landlord who did not renew lease agreement despite timely rent payments; currently staying at homeless shelter while searching for new housing options,HOUSING,adverse
Pt is living in a home with mold and has developed respiratory symptoms as a result.,HOUSING,adverse
Patient recently moved into an apartment but is experiencing issues with pests such as bed bugs and roaches.,HOUSING,adverse
Patient experiences frequent power outages during extreme weather conditions because the building’s electrical system cannot handle high demand periods,HOUSING,adverse
Couch surfing among friends/family members’ homes temporarily until finding permanent affordable housing solution,HOUSING,adverse
Housing instability caused by lack credit history preventing approval for lease agreements,HOUSING,adverse
Pt describes feeling unsafe within their own home environment due to neighborhood crime rates or domestic violence concerns,HOUSING,adverse
"Inadequate transportation infrastructure limiting accessibility resources needed maintain stable housing situations (e.g., grocery stores)",HOUSING,adverse
Pt is living in a home with mold and has developed respiratory symptoms as a result,HOUSING,adverse
"Living situation includes exposure hazards such as lead paint chips falling off walls, asbestos insulation materials used throughout the house structure posing serious health risks if ingested over time",HOUSING,adverse
Pt reports being unable afford utility bills resulting disconnection electricity gas service,HOUSING,adverse
Evicted from previous residence inability pay rent on time currently staying at homeless shelter while searching for new housing options,HOUSING,adverse
Currently residing in overcrowded conditions with multiple family members sharing one small space leading to increased stress levels and conflict within household dynamics,HOUSING,adverse
Patient's current living situation involves overcrowding with multiple family members sharing one small space leading to increased stress levels and conflict within household dynamics,HOUSING,adverse
Current living situation involves overcrowding with multiple family members sharing one small space leading to increased stress levels,HOUSING,adverse
Pt is worried about making his mortgage payments.,HOUSING,adverse
