text,label,adverse
Patient described challenges navigating healthcare system as an LGBTQ+ couple when trying conceive through IVF process .,RELATIONSHIP,nonadverse
Owner operator food truck selling gourmet grilled cheese sandwiches around town,EMPLOYMENT,nonadverse
Patient disclosed experiencing intimate partner violence at home; safety plan developed w/ support from social work team.,RELATIONSHIP,nonadverse
Childcare provider offers after-school tutoring services helping child stay on track academically while parent undergoes treatment,"SUPPORT,PARENT","nonadverse,adverse"
"Displaced natural disaster (e.g., hurricane, wildfire) struggling rebuild life new location",HOUSING,adverse
Couple seeking advice on how best to manage diabetes together as they prepare for retirement travel plans.,RELATIONSHIP,nonadverse
Patient disclosed experiencing intimate partner violence at home; safety plan developed w/ support from social work team.,RELATIONSHIP,nonadverse
Partnership dynamic discussed at length following diagnosis of sexually transmitted infection (STI) within couple,RELATIONSHIP,nonadverse
Separated couple discusses how best to communicate with each other when it comes to parenting decisions,"RELATIONSHIP,PARENT","adverse,adverse"
"Medical equipment required by certain disabilities (e.g., oxygen tanks) can be bulky and difficult to transport",TRANSPORTATION,adverse
Patients with mental health conditions may struggle using public transit due anxiety or other symptoms,TRANSPORTATION,adverse
Single father admits fears surrounding potential judgement from others regarding decision not seek out new romantic relationships,"RELATIONSHIP,PARENT","adverse,adverse"
Wife accompanied pt into exam room; both shared concerns re: husband’s chronic back pain impacting quality of life,RELATIONSHIP,nonadverse
Widower admits fears surrounding potential judgement from others regarding his decision not seek out new romantic relationships,RELATIONSHIP,adverse
Parent reporting concerns over adolescent's anxiety disorder,PARENT,adverse
Challenges associated with navigating complex healthcare system while also holding down demanding full-time job discussed between physician & patient,EMPLOYMENT,nonadverse
Family member takes children out fun activities giving parent opportunity rest at home,"SUPPORT,PARENT","nonadverse,adverse"
Marketing director developing campaigns promotions retail chain stores nationwide,EMPLOYMENT,nonadverse
Sibling coordinates meal train service arranging regular delivery of food from friends and family members,SUPPORT,nonadverse
A shortage of accessible taxis makes getting around more difficult than it should be,TRANSPORTATION,adverse
Spouse accompanies pt to all medical appointments and provides transportation.,"SUPPORT,RELATIONSHIP","nonadverse,nonadverse"
Difficulty navigating unfamiliar neighborhoods leads anxiety frustration among visitors new city,TRANSPORTATION,adverse
Parents report behavioral changes in toddler following family move. Seeking support from pediatrician.,PARENT,adverse
Patient has difficulty participating in activities due lack mobility resulting decreased interactions with peers,SUPPORT,adverse
Couple seeking advice on how to manage stress related to infertility issues while undergoing fertility treatments,RELATIONSHIP,nonadverse
Crowded living spaces compromising privacy dignity personal safety concerns,HOUSING,adverse
Spouse drives patient long distances specialist appointments outside the state,"SUPPORT,RELATIONSHIP","nonadverse,nonadverse"
Currently living in substandard conditions including mold infestation pest control issues lack running water/working plumbing,HOUSING,adverse
Patient works as firefighter responding emergency calls throughout city,EMPLOYMENT,nonadverse
Distant relative sends thoughtful gift card covering cost of medical expenses not covered by insurance,SUPPORT,nonadverse
A shortage of accessible taxis makes getting around more challenging than it should be for those mobility issues,TRANSPORTATION,adverse
Widower discusses challenges he has faced trying to maintain social connections after wife’s passing,RELATIONSHIP,adverse
Single mother seeking guidance regarding her teenage daughter’s acne.,"PARENT,RELATIONSHIP","adverse,adverse"
Patient reveals history of emotional abuse within previous marriage leading up until separation,RELATIONSHIP,adverse
Works full-time job managing social media accounts large fashion retailer while also running her own personal blog on side,EMPLOYMENT,nonadverse
Difficulty finding landlords willing accept Section 8 vouchers limiting options available for low-income renters,HOUSING,adverse
A shortage of accessible taxis makes getting around more challenging than it should be for those mobility issues.,TRANSPORTATION,adverse
Recently widowed pt talked openly about anger felt towards God following spouse's sudden passing.,RELATIONSHIP,adverse
Some cultures place more emphasis on independence than interdependence making it difficult ask assistance,SUPPORT,adverse
Some patients live in areas where there is limited or no public transit making it difficult to attend medical appointments,TRANSPORTATION,adverse
Career advancement opportunities limited within organization prompting consideration external positions expressed by PT during consultation.,EMPLOYMENT,nonadverse
Software developer creating applications used by businesses around world improving efficiency productivity,EMPLOYMENT,nonadverse
Caregivers who are responsible for loved ones may feel overwhelmed and unsupported themselves,SUPPORT,adverse
