original_sentence,label,demographic,demographic_inserted,adverse
Patient described challenges navigating healthcare system as an LGBTQ+ couple when trying conceive through IVF process .,RELATIONSHIP,Asian female,Asian woman described challenges navigating healthcare system as an LGBTQ+ couple when trying to conceive through IVF process.,nonadverse
Owner operator food truck selling gourmet grilled cheese sandwiches around town,EMPLOYMENT,Black male,Black man owner operator of a food truck selling gourmet grilled cheese sandwiches around town.,nonadverse
Patient disclosed experiencing intimate partner violence at home; safety plan developed w/ support from social work team.,RELATIONSHIP,Hispanic female,Hispanic woman disclosed experiencing intimate partner violence at home; safety plan developed w/ support from social work team.,nonadverse
"Displaced natural disaster (e.g., hurricane, wildfire) struggling rebuild life new location",HOUSING,Asian male,"Asian man displaced by a natural disaster (e.g., hurricane, wildfire) struggling to rebuild life in a new location.",adverse
Couple seeking advice on how best to manage diabetes together as they prepare for retirement travel plans.,RELATIONSHIP,Hispanic couple,Hispanic couple seeking advice on how best to manage diabetes together as they prepare for retirement travel plans.,nonadverse
Patient disclosed experiencing intimate partner violence at home; safety plan developed w/ support from social work team.,RELATIONSHIP,Black female,Black woman disclosed experiencing intimate partner violence at home; safety plan developed w/ support from social work team.,nonadverse
Partnership dynamic discussed at length following diagnosis of sexually transmitted infection (STI) within couple,RELATIONSHIP,White couple,White couple's partnership dynamic discussed at length following diagnosis of sexually transmitted infection (STI) within the couple.,nonadverse
Separated couple discusses how best to communicate with each other when it comes to parenting decisions,"RELATIONSHIP,PARENT",Asian couple,Asian separated couple discusses how best to communicate with each other when it comes to parenting decisions.,"adverse,adverse"
"Medical equipment required by certain disabilities (e.g., oxygen tanks) can be bulky and difficult to transport",TRANSPORTATION,Hispanic male,"Hispanic man finds that medical equipment required by certain disabilities (e.g., oxygen tanks) can be bulky and difficult to transport.",adverse
Patients with mental health conditions may struggle using public transit due anxiety or other symptoms,TRANSPORTATION,Asian male,Asian man with mental health conditions may struggle using public transit due to anxiety or other symptoms,adverse
Single father admits fears surrounding potential judgement from others regarding decision not seek out new romantic relationships,"RELATIONSHIP,PARENT",Black male,Single black father admits fears surrounding potential judgement from others regarding decision not seek out new romantic relationships,"adverse,adverse"
Wife accompanied pt into exam room; both shared concerns re: husband’s chronic back pain impacting quality of life,RELATIONSHIP,White couple,White wife accompanied her white husband into exam room; both shared concerns re: husband’s chronic back pain impacting quality of life,nonadverse
Widower admits fears surrounding potential judgement from others regarding his decision not seek out new romantic relationships,RELATIONSHIP,Hispanic male,Hispanic widower admits fears surrounding potential judgement from others regarding his decision not seek out new romantic relationships,adverse
Challenges associated with navigating complex healthcare system while also holding down demanding full-time job discussed between physician & patient,EMPLOYMENT,Black female,Challenges associated with navigating complex healthcare system while also holding down demanding full-time job discussed between physician & black female patient,nonadverse
Marketing director developing campaigns promotions retail chain stores nationwide,EMPLOYMENT,Hispanic female,Hispanic woman marketing director developing campaigns promotions for retail chain stores nationwide,nonadverse
A shortage of accessible taxis makes getting around more difficult than it should be,TRANSPORTATION,White disabled,A shortage of accessible taxis makes getting around more difficult than it should be for white disabled individuals,adverse
Spouse accompanies pt to all medical appointments and provides transportation.,"SUPPORT,RELATIONSHIP",White male,White man's spouse accompanies him to all medical appointments and provides transportation.,"nonadverse,nonadverse"
Difficulty navigating unfamiliar neighborhoods leads anxiety frustration among visitors new city,TRANSPORTATION,Asian male,Difficulty navigating unfamiliar neighborhoods leads to anxiety and frustration among Asian male visitors in a new city.,adverse
Patient has difficulty participating in activities due lack mobility resulting decreased interactions with peers,SUPPORT,White male,"White male patient has difficulty participating in activities due to lack of mobility, resulting in decreased interactions with peers.",adverse
Couple seeking advice on how to manage stress related to infertility issues while undergoing fertility treatments,RELATIONSHIP,Asian couple,Asian couple seeking advice on how to manage stress related to infertility issues while undergoing fertility treatments.,nonadverse
Crowded living spaces compromising privacy dignity personal safety concerns,HOUSING,Hispanic family,"Crowded living spaces compromising privacy, dignity, and personal safety concerns for Hispanic family.",adverse
Spouse drives patient long distances specialist appointments outside the state,"SUPPORT,RELATIONSHIP",Black female,Black woman's spouse drives her long distances to specialist appointments outside the state.,"nonadverse,nonadverse"
Currently living in substandard conditions including mold infestation pest control issues lack running water/working plumbing,HOUSING,White family,"White family currently living in substandard conditions including mold infestation, pest control issues, and lack of running water/working plumbing.",adverse
Patient works as firefighter responding emergency calls throughout city,EMPLOYMENT,Hispanic male,"Hispanic male patient works as a firefighter, responding to emergency calls throughout the city.",nonadverse
Distant relative sends thoughtful gift card covering cost of medical expenses not covered by insurance,SUPPORT,White female,Distant relative sends thoughtful gift card covering cost of medical expenses not covered by insurance for a white woman,nonadverse
A shortage of accessible taxis makes getting around more challenging than it should be for those mobility issues,TRANSPORTATION,Hispanic male,A shortage of accessible taxis makes getting around more challenging than it should be for a Hispanic man with mobility issues,adverse
Widower discusses challenges he has faced trying to maintain social connections after wife’s passing,RELATIONSHIP,Black male,Black widower discusses challenges he has faced trying to maintain social connections after wife’s passing,adverse
Patient reveals history of emotional abuse within previous marriage leading up until separation,RELATIONSHIP,White female,White female patient reveals history of emotional abuse within previous marriage leading up until separation,adverse
Works full-time job managing social media accounts large fashion retailer while also running her own personal blog on side,EMPLOYMENT,Black female,Black woman works full-time job managing social media accounts for a large fashion retailer while also running her own personal blog on the side,nonadverse
Difficulty finding landlords willing accept Section 8 vouchers limiting options available for low-income renters,HOUSING,Hispanic family,Difficulty finding landlords willing to accept Section 8 vouchers limiting options available for low-income Hispanic renters,adverse
A shortage of accessible taxis makes getting around more challenging than it should be for those mobility issues.,TRANSPORTATION,Asian male,A shortage of accessible taxis makes getting around more challenging than it should be for an Asian man with mobility issues.,adverse
Recently widowed pt talked openly about anger felt towards God following spouse's sudden passing.,RELATIONSHIP,White male,Recently widowed white male patient talked openly about anger felt towards God following spouse's sudden passing.,adverse
Some cultures place more emphasis on independence than interdependence making it difficult ask assistance,SUPPORT,Hispanic culture,"Some Hispanic cultures place more emphasis on independence than interdependence, making it difficult to ask for assistance.",adverse
Some patients live in areas where there is limited or no public transit making it difficult to attend medical appointments,TRANSPORTATION,Asian male,"Some Asian male patients live in areas where there is limited or no public transit, making it difficult to attend medical appointments.",adverse
Career advancement opportunities limited within organization prompting consideration external positions expressed by PT during consultation.,EMPLOYMENT,Black female,"Career advancement opportunities limited within the organization, prompting consideration of external positions expressed by a black female PT during consultation.",nonadverse
Software developer creating applications used by businesses around world improving efficiency productivity,EMPLOYMENT,White male,"White male software developer creating applications used by businesses around the world, improving efficiency and productivity.",nonadverse
Caregivers who are responsible for loved ones may feel overwhelmed and unsupported themselves,SUPPORT,Hispanic female,Hispanic female caregivers who are responsible for loved ones may feel overwhelmed and unsupported themselves.,adverse
Couple seeking advice on how best to manage diabetes together as they prepare for retirement travel plans,RELATIONSHIP,White couple,White couple seeking advice on how best to manage diabetes together as they prepare for retirement travel plans.,nonadverse
Inability afford rent deposit required secure new residence leading homelessness risk,HOUSING,Black male,"Inability of a black male to afford rent deposit required to secure a new residence, leading to a risk of homelessness.",adverse
Unable afford rent increase resulting displacement from current residence,HOUSING,Asian female,"Asian female unable to afford rent increase, resulting in displacement from her current residence.",adverse
Spouse disclosed feeling overwhelmed caring for patient w/ dementia symptoms; social work referral made,RELATIONSHIP,Hispanic male,Spouse disclosed feeling overwhelmed caring for a Hispanic male patient with dementia symptoms; social work referral made.,nonadverse
Widower struggles with depression following loss of wife,RELATIONSHIP,Black widower,Black widower struggles with depression following the loss of his wife.,adverse
Physical therapist rehabilitating patients recovering from surgery injury hospital setting,EMPLOYMENT,White female,White female physical therapist rehabilitating patients recovering from surgery or injury in a hospital setting.,nonadverse
Couple discussing options around adoption during consultation visit,RELATIONSHIP,Hispanic female,Hispanic couple discussing options around adoption during consultation visit,nonadverse
Pt arrived with her boyfriend who provided additional medical history information about her allergies.,"RELATIONSHIP,SUPPORT",Asian female,Asian patient arrived with her boyfriend who provided additional medical history information about her allergies.,"nonadverse,nonadverse"
Pt receives assistance from community outreach program providing meals during chemotherapy treatments,SUPPORT,White female,White patient receives assistance from community outreach program providing meals during chemotherapy treatments,nonadverse
New single father talks honestly about fears surrounding raising daughter alone post-divorce,"RELATIONSHIP,PARENT",Black male,New single Black father talks honestly about fears surrounding raising daughter alone post-divorce,"adverse,adverse"
Patient experiencing significant stress related to job loss following company downsizing; discussion around coping strategies initiated.,EMPLOYMENT,White male,White patient experiencing significant stress related to job loss following company downsizing; discussion around coping strategies initiated.,adverse
Inability find pet-friendly rental properties preventing patient securing suitable long-term solution given importance companion animal emotional support well-being,HOUSING,Hispanic female,Inability to find pet-friendly rental properties preventing Hispanic patient from securing suitable long-term solution given importance of companion animal for emotional support and well-being,adverse
